PersonNr,Lan,Kommun,Forsamling,Distriktskod,FastLopNr,FastBet,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,FamId,Sun2000niva_old,SUN2000niva,SUN2000Inr,SUN2000Grp,CfarNr_LISA,ArbstId,AstNr_LISA,AstKommun,AstLan,KU1PeOrgNr,KU1CfarNr,KU1AstNr,KU1AstKommun,KU1AstLan,KU1YrkStalln,KU2PeOrgNr,KU2CfarNr,KU2AstNr,KU2AstKommun,KU2AstLan,KU2YrkStalln,KU3PeOrgNr,KU3CfarNr,KU3AstNr,KU3AstKommun,KU3AstLan,KU3YrkStalln,FodelseAr,DodDatum,Alder,Kon,InvUtvLand,InvUtvManad,PostTyp,FodelseLandnamn,FodelseTidMor,FodelseLandnamnMor,FodelseTidFar,FodelseLandnamnFar,UtlSvBakg,SyssStat,ArbTid,YrkStalln,KU1lnk,KU2lnk,KU3lnk,Raks_SummaInk,Raks_Huvudanknytning,Raks_EtablGrad,Raks_Forvink
19350909-1340,Västmanland county,Norberg,196201,214065,907355814,Norberg Norberg 166820961,0,0,0,0,0,0,0,0,19350909-1340,62261,532,8,"Minst 30 högskolepoäng inom tjänster, ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1935,,55,2,Pakistan,1991-10,Utv,Afghanistan,1982-01-02,Poland,1979-01-02,Finland,11,6, , ,0,0,0,1300,5,NULL,0
19471012-9513,Örebro county,Karlskoga,188301,213037,118044695,Karlskoga Karlskoga 114769917,0,0,0,0,1,0,0,0,19471012-9513,54246,547,149d,Speciallärar- och specialpedagogutbildning,520355251,52035525181905Lekeberg700719-6770,81905,Lekeberg,Örebro county,700719-6770,520355251,81905,Lekeberg,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1947,,43,1,Afghanistan,1998-09,Inv,Finland,1982-01-02,Sweden,1979-01-02,Italy,21,5,9,2,1576,0,0,1583,2,0,0
19730808-6386,Örebro county,Karlskoga,188301,213037,118044695,Karlskoga Karlskoga 114769917,0,0,0,0,0,0,0,0,19471012-9513,19060,547,581d,Arkitekt- och landskapsarkitektutbildning,324567076,32456707675340Ljusnarsberg411115-2559,75340,Ljusnarsberg,Örebro county,411115-2559,324567076,75340,Ljusnarsberg,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1973,,17,2,India,1980-02,Inv,USA,1982-01-02,Brazil,1979-01-02,Russia,11,1,5,2,1067,0,0,1805,2,1,0
19531206-3818,Örebro county,Karlskoga,188301,213037,118044695,Karlskoga Karlskoga 114769917,0,0,0,0,1,0,0,0,19471012-9513,71080,413,524x,"Ingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik (eftergymnasial)",494006934,49400693432217Nora490508-3326,32217,Nora,Örebro county,490508-3326,494006934,32217,Nora,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1953,,37,1,Poland,1977-07,Utv,Finland,1982-01-02,China,1979-01-02,Poland,11,1,4,1,747,0,0,1900,5,NULL,0
19461206-2765,Kalmar county,Kalmar,088006,105072,522581057,Kalmar Rockneby 381647773,0,0,0,0,0,0,0,0,19461206-2765,66650,1,010a,Folkskoleutbildning och motsvarande,529518128,52951812818482Vimmerby500731-9477,18482,Vimmerby,Kalmar county,500731-9477,529518128,18482,Vimmerby,Kalmar county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1946,,44,2,Romania,2015-09,Inv,USA,1982-01-02,Iran,1979-01-02,Turkey,11,1,9,4,1008,0,0,3462,5,NULL,0
19490305-7245,Kalmar county,Kalmar,088006,105072,522581057,Kalmar Rockneby 381647773,0,0,0,0,0,0,0,0,19461206-2765,55888,6,724x,Tandläkarutbildning,679191059,67919105951772Mönsterås650916-0281,51772,Mönsterås,Kalmar county,650916-0281,679191059,51772,Mönsterås,Kalmar county,1,490930-7889,596970628,19418,Vimmerby,Kalmar county,1,-,-,-,0000,00,-,1949,,41,2,Turkey,2006-12,Utv,USA,1982-01-02,Russia,1979-01-02,Germany,11,1,5,1,1379,637,0,3261,5,NULL,0
19390326-1976,Värmland county,Eda,173003,213071,428277430,Eda Koppom 90337854,0,0,0,0,0,0,0,0,19390326-1976,83406,3,761,Gymnasial utbildning med inriktning mot barn och ungdom,986225378,98622537861468Forshaga430322-0092,61468,Forshaga,Värmland county,430322-0092,986225378,61468,Forshaga,Värmland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1939,19551027,16,1,Syria,1941-10,Utv,Brazil,1982-01-02,Netherlands,1979-01-02,Poland,11,1,1,0,1506,0,0,6620,7,NULL,0
19401109-7600,Södermanland county,Trosa,048802,212017,514657178,Trosa Trosa 340735505,2,0,2,0,0,0,0,0,19401109-7600,15076,312,5,"Tekniskt gymnasium, 1-3 år",891758204,89175820476066Oxelösund401109-7600,76066,Oxelösund,Södermanland county,401109-7600,891758204,76066,Oxelösund,Södermanland county,1,390422-4355,122926653,83579,Trosa,Södermanland county,1,-,-,-,0000,00,-,1940,,50,2,Turkey,1986-10,Inv,Italy,1982-01-02,Sweden,1979-01-02,Netherlands,21,1,3,4,989,850,0,1839,5,NULL,0
19430925-7338,Södermanland county,Trosa,048802,212017,514657178,Trosa Trosa 340735505,2,0,2,0,0,0,0,0,19401109-7600,71869,4,481a,Programmerar- och systemerarutbildning (eftergymnasial),572451560,57245156026545Gnesta520110-7701,26545,Gnesta,Södermanland county,520110-7701,572451560,26545,Gnesta,Södermanland county,1,591021-5569,400865066,63365,Vingåker,Södermanland county,1,-,-,-,0000,00,-,1943,,47,1,Pakistan,1981-09,Inv,Brazil,1982-01-02,Germany,1979-01-02,Russia,11,1,5,4,1168,1095,0,4152,5,NULL,0
19500626-6386,Norrbotten county,Älvsbyn,256002,325008,391473571,Älvsbyn Korsträsk 359789361,1,0,1,1,0,0,0,0,19500626-6386,47870,532,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen",405968604,40596860499981Kiruna340823-8120,99981,Kiruna,Norrbotten county,340823-8120,405968604,99981,Kiruna,Norrbotten county,1,300104-1809,233618133,99991,Jokkmokk,Norrbotten county,1,-,-,-,0000,00,-,1950,,40,2,Romania,1973-08,Inv,UK,1982-01-02,Iran,1979-01-02,Finland,11,1,5,2,1904,1166,0,4745,1,0,0
19540722-6173,Norrbotten county,Älvsbyn,256002,325008,391473571,Älvsbyn Korsträsk 359789361,1,0,1,1,0,0,0,0,19500626-6386,61046,331,523e,Gymnasieutbildning inom elektro- och datateknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1954,,36,1,UK,1961-04,Inv,UK,1982-01-02,Sweden,1979-01-02,Finland,21,6, , ,0,0,0,2902,5,NULL,0
19510714-7451,Värmland county,Torsby,173703,213091,296192461,Torsby Torsby 236352171,0,0,0,0,0,0,0,0,19510714-7451,53282,532,6,"Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen",652930287,65293028704191Filipstad510714-7451,04191,Filipstad,Värmland county,510714-7451,652930287,04191,Filipstad,Värmland county,1,510714-7451,652930287,98533,Forshaga,Värmland county,1,-,-,-,0000,00,-,1951,,39,1,Syria,1955-12,Inv,Romania,1982-01-02,Italy,1979-01-02,Germany,11,1,4,2,1348,1273,0,4143,2,0,0
19581231-0398,Värmland county,Torsby,173703,213091,296192461,Torsby Torsby 236352171,0,0,0,0,0,0,0,0,19510714-7451,97368,531,481b,Naturvetenskaplig högskoleutbildning (minst 3 år),968291774,96829177493760Säffle311110-5632,93760,Säffle,Värmland county,311110-5632,968291774,93760,Säffle,Värmland county,1,660903-0022,195998977,22860,Filipstad,Värmland county,1,-,-,-,0000,00,-,1958,,32,1,Syria,1967-04,Utv,Germany,1982-01-02,Iraq,1979-01-02,Russia,11,5,5,1,2087,1349,0,3436,6,NULL,0
19460925-9843,Dalarna county,Orsa,203402,217048,683030129,Orsa Skattungbyn 21297718,0,0,0,0,0,0,0,0,19460925-9843,60492,666,322,Biblioteks- och informationsvetenskaplig högskoleutbildning (minst 3 år),255494826,25549482640706Hedemora630429-6302,40706,Hedemora,Dalarna county,630429-6302,255494826,40706,Hedemora,Dalarna county,1,390327-2733,123604304,53618,Vansbro,Dalarna county,1,-,-,-,0000,00,-,1946,,44,2,Finland,1992-12,Inv,Iran,1982-01-02,Pakistan,1979-01-02,India,11,1,4,2,1210,954,0,4048,1,0,0
19490902-1660,Dalarna county,Orsa,203402,217048,683030129,Orsa Skattungbyn 21297718,0,0,0,0,0,0,0,0,19460925-9843,20959,3,213,Gymnasial utbildning för medieproduktion,836735465,83673546584226Borlänge730502-5992,84226,Borlänge,Dalarna county,730502-5992,836735465,84226,Borlänge,Dalarna county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1949,,41,2,Poland,2014-03,Utv,Sweden,1982-01-02,Turkey,1979-01-02,Iraq,12,1,1,2,991,0,0,4349,1,1,0
19720831-1690,Södermanland county,Nyköping,048010,212013,767057527,Nyköping Buskhyttan 62249852,0,0,0,0,0,0,0,0,19720831-1690,75695,5,726a,Fysioterapeututbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1972,,18,1,Sweden,2016-04,Utv,Netherlands,1982-01-02,Denmark,1979-01-02,India,11,6, , ,0,0,0,2229,6,NULL,0
19630209-4982,Jönköping county,Mullsjö,064203,107191,503094496,Mullsjö Mullsjö 380659522,1,0,0,0,0,0,0,0,19630209-4982,40464,3,010a,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning",523139465,52313946504189Vaggeryd621205-1036,04189,Vaggeryd,Jönköping county,621205-1036,523139465,04189,Vaggeryd,Jönköping county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1963,,27,2,Syria,2015-04,Inv,Denmark,1982-01-02,Iraq,1979-01-02,Poland,11,1,4,2,1305,0,0,2605,4,1,0
19450120-5588,Södermanland county,Gnesta,046104,212054,483312252,Gnesta Gnesta 140589399,0,0,0,0,0,0,0,0,19450120-5588,29757,537,146l,Lärarutbildning i praktisk-estetiska ämnen,408330875,40833087597677Strängnäs390803-0533,97677,Strängnäs,Södermanland county,390803-0533,408330875,97677,Strängnäs,Södermanland county,1,450518-3547,626542953,99992,Katrineholm,Södermanland county,1,-,-,-,0000,00,-,1945,,45,2,India,1976-11,Utv,Afghanistan,1982-01-02,Syria,1979-01-02,Russia,11,1,3,2,1588,1197,0,2785,2,0,0
19370827-5823,Jämtland county,Östersund,238002,322019,714245653,Östersund Tandsbyn 23301039,0,0,0,0,0,0,0,0,19370827-5823,45755,532,4,"Minst 30 högskolepoäng inom naturvetenskap, matematik och IKT ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1937,,53,2,Pakistan,1944-09,Inv,Germany,1982-01-02,USA,1979-01-02,Netherlands,11,6, , ,0,0,0,2385,6,NULL,0
19540117-8624,Östergötland county,Finspång,056201,108160,225778701,Finspång Ljusfallshammar 396497126,0,0,1,0,0,0,0,0,19540117-8624,53193,3,761,Gymnasial utbildning med inriktning mot barn och ungdom,844952433,84495243353863Finspång540826-1321,53863,Finspång,Östergötland county,540826-1321,844952433,53863,Finspång,Östergötland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1954,,36,2,India,1983-02,Utv,Sweden,1982-01-02,Iraq,1979-01-02,UK,12,1,4,4,1492,0,0,4764,6,NULL,0
19461123-9406,Västmanland county,Fagersta,198201,214059,636436333,Fagersta Fagersta 202271755,1,0,0,0,0,1,0,0,19461123-9406,40591,3,724e,Tandvårdsutbildning på gymnasial nivå,444904511,44490451194978Sala601211-9953,94978,Sala,Västmanland county,601211-9953,444904511,94978,Sala,Västmanland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1946,,44,2,USA,1985-08,Inv,Russia,1982-01-02,Turkey,1979-01-02,Syria,11,1,5,2,878,0,0,2233,1,0,0
19690115-2819,Västmanland county,Fagersta,198201,214059,636436333,Fagersta Fagersta 202271755,0,0,0,0,0,0,0,0,19461123-9406,13005,522,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1969,,21,1,Syria,1983-02,Utv,Brazil,1982-01-02,Afghanistan,1979-01-02,China,11,6, , ,0,0,0,2749,5,NULL,0
19580317-7417,Värmland county,Filipstad,178201,213070,461652186,Filipstad Persberg 24972759,0,0,0,1,0,0,0,0,19580317-7417,49352,6,481a,Programmerar- och systemerarutbildning (eftergymnasial),291635805,29163580554625Arvika540712-7559,54625,Arvika,Värmland county,540712-7559,291635805,54625,Arvika,Värmland county,1,600813-8362,691615017,57947,Årjäng,Värmland county,1,-,-,-,0000,00,-,1958,,32,1,Brazil,1969-11,Utv,Sweden,1982-01-02,Netherlands,1979-01-02,India,12,1,3,0,2222,914,0,7164,7,NULL,0
19460719-6492,Västernorrland county,Ånge,226002,320006,140847649,Ånge Alby 154079803,0,1,0,2,0,0,0,0,19460719-6492,25983,547,521a,"Civilingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi",388065597,38806559725574Timrå570305-2632,25574,Timrå,Västernorrland county,570305-2632,388065597,25574,Timrå,Västernorrland county,1,611224-5826,947657899,21334,Örnsköldsvik,Västernorrland county,1,-,-,-,0000,00,-,1946,,44,1,Russia,2005-08,Utv,Romania,1982-01-02,China,1979-01-02,Poland,11,1,4,4,2110,1724,0,3834,5,NULL,0
19531129-6332,Södermanland county,Eskilstuna,048402,212110,089399898,Eskilstuna Hällbybrunn 273802685,0,0,0,0,0,0,0,0,19531129-6332,16769,557,146d,Yrkeslärarutbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1953,,37,1,Turkey,1962-12,Utv,Finland,1982-01-02,Sweden,1979-01-02,Syria,21,6, , ,0,0,0,3526,6,NULL,0
19621004-6989,Värmland county,Forshaga,176301,213043,176444659,Forshaga Forshaga 82833697,0,0,0,0,0,0,0,0,19621004-6989,86177,3,840,Transportutbildning på gymnasial nivå,784615775,78461577505464Hagfors611231-4397,05464,Hagfors,Värmland county,611231-4397,784615775,05464,Hagfors,Värmland county,1,711022-6510,577386291,60311,Grums,Värmland county,1,-,-,-,0000,00,-,1962,,28,2,Syria,2001-10,Utv,USA,1982-01-02,Netherlands,1979-01-02,USA,11,1,5,2,1468,685,0,2153,1,1,0
19680227-9658,Värmland county,Forshaga,176301,213043,176444659,Forshaga Forshaga 82833697,0,0,0,0,0,0,0,0,19621004-6989,80980,547,581d,Arkitekt- och landskapsarkitektutbildning,502823232,50282323270384Sunne680227-9658,70384,Sunne,Värmland county,680227-9658,502823232,70384,Sunne,Värmland county,1,670316-3070,171183478,12364,Hagfors,Värmland county,1,-,-,-,0000,00,-,1968,,22,1,Iraq,2002-07,Inv,Germany,1982-01-02,Afghanistan,1979-01-02,Syria,11,1,1,4,2091,1161,0,3252,6,NULL,0
19690206-8480,Östergötland county,Åtvidaberg,056101,105289,064811162,Åtvidaberg Falerum 58428895,0,0,0,0,0,0,0,0,19690206-8480,26503,6,727x,Apotekarutbildning,321827612,32182761252871Söderköping380913-2238,52871,Söderköping,Östergötland county,380913-2238,321827612,52871,Söderköping,Östergötland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1969,,21,2,Sweden,2003-02,Inv,Netherlands,1982-01-02,Afghanistan,1979-01-02,Romania,11,1,5,0,1280,0,0,2705,7,NULL,0
19521205-3185,Uppsala county,Östhammar,038213,215186,104251537,Östhammar Gimo 307707844,0,0,0,0,0,0,0,0,19521205-3185,87619,2,010x,Grundskoleutbildning och motsvarande,452364045,45236404502838Östhammar521205-3185,02838,Östhammar,Uppsala county,521205-3185,452364045,02838,Östhammar,Uppsala county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1952,,38,2,Pakistan,2013-04,Inv,Germany,1982-01-02,India,1979-01-02,UK,11,1,9,2,1842,0,0,3839,3,0,0
19560708-2318,Uppsala county,Östhammar,038213,215186,104251537,Östhammar Gimo 307707844,0,0,0,0,0,0,0,0,19521205-3185,58793,5,213,"Medieproduktion, eftergymnasial utbildning",665411280,66541128022932Östhammar650608-4190,22932,Östhammar,Uppsala county,650608-4190,665411280,22932,Östhammar,Uppsala county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1956,,34,1,Pakistan,1966-12,Utv,Netherlands,1982-01-02,Pakistan,1979-01-02,Sweden,21,5,5,2,1158,0,0,2777,1,0,0
19490614-9301,Kalmar county,Oskarshamn,088201,105165,544698796,Oskarshamn Emsfors 238208632,0,0,0,0,0,0,0,0,19490614-9301,90871,3,388b,Yrkesinriktad utbildning på gymnasial nivå inom handel och administration,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1949,,41,2,Finland,1961-02,Inv,Denmark,1982-01-02,Poland,1979-01-02,Turkey,11,6, , ,0,0,0,1629,5,NULL,0
19710604-8298,Västerbotten county,Nordmaling,240102,321042,724293038,Nordmaling Rundvik 206414440,0,0,0,0,0,0,0,0,19710604-8298,89448,537,143b,Fritidspedagogutbildning,719962506,71996250662277Malå381022-3312,62277,Malå,Västerbotten county,381022-3312,719962506,62277,Malå,Västerbotten county,1,630117-4868,111960209,12495,Nordmaling,Västerbotten county,1,-,-,-,0000,00,-,1971,,19,1,Sweden,1991-06,Utv,Romania,1982-01-02,China,1979-01-02,Iran,11,1,5,1,1209,642,0,3508,5,NULL,0
19770203-2957,Västerbotten county,Nordmaling,240102,321042,724293038,Nordmaling Rundvik 206414440,0,0,0,0,0,0,0,0,19710604-8298,74911,2,010a,Grundskoleutbildning och motsvarande,532709545,53270954567669Bjurholm450630-7682,67669,Bjurholm,Västerbotten county,450630-7682,532709545,67669,Bjurholm,Västerbotten county,1,730710-3928,139104041,06966,Vännäs,Västerbotten county,1,-,-,-,0000,00,-,1977,,13,1,Germany,1992-03,Utv,Pakistan,1982-01-02,Italy,1979-01-02,Finland,11,5,9,1,1669,1091,0,2760,5,NULL,0
19390316-1546,Stockholm county,Haninge,013605,212047,270910057,Haninge Gansta och Söderby 156876321,0,0,0,0,0,0,0,0,19390316-1546,63204,1,010x,Folkskoleutbildning och motsvarande,752160534,75216053417178Vaxholm530222-1228,17178,Vaxholm,Stockholm county,530222-1228,752160534,17178,Vaxholm,Stockholm county,1,340216-5280,475935384,26907,Stockholm,Stockholm county,1,-,-,-,0000,00,-,1939,,51,2,Russia,1966-10,Inv,Italy,1982-01-02,Italy,1979-01-02,Turkey,11,5,3,1,1559,1499,0,3058,5,NULL,0
19360919-2567,Jämtland county,Bräcke,230506,322004,619423061,Bräcke Kälarne 27191990,0,0,0,0,0,0,0,0,19360919-2567,64117,325,522d,Gymnasieutbildning inom energi och VVS,232754224,23275422491101Strömsund740124-2464,91101,Strömsund,Jämtland county,740124-2464,232754224,91101,Strömsund,Jämtland county,1,450419-2102,665506733,17498,Ragunda,Jämtland county,1,-,-,-,0000,00,-,1936,,54,2,Sweden,1978-12,Utv,USA,1982-01-02,Syria,1979-01-02,Brazil,11,1,3,2,1634,927,0,2561,2,1,0
19731004-6875,Halland county,Kungsbacka,138403,104091,699395456,Kungsbacka Hjälm 222603085,0,0,0,0,0,0,0,0,19731004-6875,85130,4,723e,Sjuksköterskeutbildning,649770742,64977074252199Varberg731004-6875,52199,Varberg,Halland county,731004-6875,649770742,52199,Varberg,Halland county,1,480708-1506,181940967,24951,Halmstad,Halland county,1,-,-,-,0000,00,-,1973,,17,1,Turkey,1981-04,Inv,Netherlands,1982-01-02,Iraq,1979-01-02,Afghanistan,11,1,3,2,1596,1544,0,4254,1,0,0
19371011-4721,Kalmar county,Kalmar,088005,105054,178071757,Kalmar Lindsdal 296505595,0,0,0,0,0,1,0,0,19371011-4721,93579,546,525b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1937,,53,2,Germany,1963-12,Inv,Netherlands,1982-01-02,Italy,1979-01-02,Russia,11,6, , ,0,0,0,2334,5,NULL,0
19650829-5440,Kalmar county,Kalmar,088005,105054,178071757,Kalmar Lindsdal 296505595,0,0,0,0,0,0,0,0,19371011-4721,66100,6,213,"Medieproduktion, eftergymnasial utbildning",848856122,84885612278842Emmaboda520810-1184,78842,Emmaboda,Kalmar county,520810-1184,848856122,78842,Emmaboda,Kalmar county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1965,,25,2,Iran,1979-03,Utv,Russia,1982-01-02,Syria,1979-01-02,USA,11,1,4,1,1719,0,0,3387,6,NULL,0
19530721-0967,Södermanland county,Strängnäs,048604,212065,445837186,Strängnäs Abborrberget 14167761,0,0,0,0,0,0,0,0,19530721-0967,60007,4,211c,Konstnärlig eftergymnasial utbildning,972528209,97252820954781Vingåker330423-2000,54781,Vingåker,Södermanland county,330423-2000,972528209,54781,Vingåker,Södermanland county,1,620510-1951,772319170,05372,Gnesta,Södermanland county,1,-,-,-,0000,00,-,1953,,37,2,Netherlands,2002-12,Inv,USA,1982-01-02,UK,1979-01-02,USA,11,5,3,1,1760,1185,0,2945,5,NULL,0
19290622-2633,Gävleborg county,Bollnäs,218306,318004,359135180,Bollnäs Rengsjö 301505857,0,0,0,0,0,0,0,0,19290622-2633,99807,6,721,Läkarutbildning,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1929,,61,1,Finland,1941-08,Utv,Germany,1982-01-02,Syria,1979-01-02,Finland,11,6, , ,0,0,0,1511,5,NULL,0
19550206-9869,Gävleborg county,Hudiksvall,218408,318030,687590994,Hudiksvall Hudiksvall 56374950,0,0,0,0,0,0,0,0,19550206-9869,71945,412,3,"Minst 30 högskolepoäng inom samhällsvetenskap, ekonomi och juridik, ej examen",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1955,,35,2,Iraq,2007-03,Utv,Iran,1982-01-02,Denmark,1979-01-02,Pakistan,11,6, , ,0,0,0,2279,5,NULL,0
19630113-1384,Gävleborg county,Nordanstig,213202,318040,564295794,Nordanstig Gnarp 109169552,0,0,0,0,0,0,0,0,19630113-1384,94578,336,5,"Tekniskt gymnasium, 1-3 år",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1963,,27,2,India,1968-03,Inv,Turkey,1982-01-02,India,1979-01-02,Brazil,11,6, , ,0,0,0,1785,5,NULL,0
19670318-6371,Södermanland county,Gnesta,046104,212053,302999924,Gnesta Kvegerö 323859864,0,0,0,0,0,0,0,0,19670318-6371,96538,5,211c,Konstnärlig eftergymnasial utbildning,587506848,58750684814922Strängnäs460707-4376,14922,Strängnäs,Södermanland county,460707-4376,587506848,14922,Strängnäs,Södermanland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1967,,23,1,Russia,1981-07,Utv,Syria,1982-01-02,Russia,1979-01-02,Iran,11,1,4,1,1511,0,0,1577,5,NULL,0
19490201-7458,Västra Götaland county,Mölndal,148103,104090,055999527,Mölndal Eskilsby och Snugga 179470534,0,0,0,0,0,1,0,0,19490201-7458,60626,5,723l 723m,Sjuksköterskeutbildning,698396658,69839665884630Skara550314-0972,84630,Skara,Västra Götaland county,550314-0972,698396658,84630,Skara,Västra Götaland county,1,450620-8499,140026470,39389,Mariestad,Västra Götaland county,1,-,-,-,0000,00,-,1949,,41,1,UK,1969-08,Inv,Finland,1982-01-02,Russia,1979-01-02,Afghanistan,11,1,5,1,1705,1170,0,8750,5,NULL,0
19661214-5239,Västra Götaland county,Mölndal,148103,104090,055999527,Mölndal Eskilsby och Snugga 179470534,0,0,0,0,0,0,0,0,19490201-7458,41910,413,521b,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)",467399114,46739911441028Tidaholm370921-3172,41028,Tidaholm,Västra Götaland county,370921-3172,467399114,41028,Tidaholm,Västra Götaland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1966,,24,1,India,1972-05,Inv,Finland,1982-01-02,Iraq,1979-01-02,Germany,11,5,9,2,1995,0,0,1995,4,1,0
19621226-3613,Norrbotten county,Älvsbyn,256002,325008,266165467,Älvsbyn Vidsel 302817301,0,0,0,0,0,0,0,0,19621226-3613,99542,532,6,"Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen",955165139,95516513935319Arjeplog520105-7333,35319,Arjeplog,Norrbotten county,520105-7333,955165139,35319,Arjeplog,Norrbotten county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1962,,28,1,Iran,2003-01,Utv,Iraq,1982-01-02,Italy,1979-01-02,Poland,11,1,5,1,1493,0,0,4175,5,NULL,0
19630113-7328,Norrbotten county,Älvsbyn,256002,325008,266165467,Älvsbyn Vidsel 302817301,0,0,0,0,0,0,0,0,19621226-3613,60807,537,144,Lärarutbildning för grundskolans tidiga åldrar,868160314,86816031430901Älvsbyn730207-3523,30901,Älvsbyn,Norrbotten county,730207-3523,868160314,30901,Älvsbyn,Norrbotten county,1,341203-9367,609824636,48804,Kalix,Norrbotten county,1,-,-,-,0000,00,-,1963,,27,2,Netherlands,1996-02,Utv,USA,1982-01-02,Iran,1979-01-02,Brazil,11,5,3,2,1115,1109,0,8410,1,0,0
19701103-9588,Jönköping county,Tranås,068701,105283,818964834,"Tranås Hätte, Seglarvik och Sandvik 242058028",0,0,0,0,0,0,0,0,19701103-9588,44111,6,543a,"Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik",236011355,23601135570524Mullsjö290416-0522,70524,Mullsjö,Jönköping county,290416-0522,236011355,70524,Mullsjö,Jönköping county,1,720101-8033,346728533,96385,Värnamo,Jönköping county,1,-,-,-,0000,00,-,1970,,20,2,Russia,1987-05,Inv,Iran,1982-01-02,Romania,1979-01-02,India,11,5,5,2,2432,553,0,2985,1,0,0
19660703-6040,Västmanland county,Köping,198301,214020,046196798,Köping Köping 292951655,0,0,0,0,0,0,0,0,19660703-6040,27801,3,010b,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning",941016443,94101644310068Sala310412-1661,10068,Sala,Västmanland county,310412-1661,941016443,10068,Sala,Västmanland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1966,,24,2,Sweden,1983-06,Utv,China,1982-01-02,Pakistan,1979-01-02,Brazil,11,1,4,5,1176,0,0,2048,6,NULL,0
19360917-5085,Halland county,Hylte,131505,105092,962883298,Hylte Unnaryd 108707449,0,0,0,0,0,0,0,0,19360917-5085,95162,6,523a-523b,"Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1936,,54,2,USA,2015-03,Inv,UK,1982-01-02,UK,1979-01-02,UK,11,6, , ,0,0,0,758,5,NULL,0
19730410-2568,Västmanland county,Hallstahammar,196101,214013,111643343,Hallstahammar Strömsholm 179654600,2,0,0,0,0,0,0,0,19730410-2568,11597,4,724d,Tandhygienistutbildning,138812722,13881272252463Surahammar670215-7960,52463,Surahammar,Västmanland county,670215-7960,138812722,52463,Surahammar,Västmanland county,1,511229-1529,720496604,42928,Norberg,Västmanland county,1,-,-,-,0000,00,-,1973,,17,2,Italy,1977-09,Inv,Germany,1982-01-02,India,1979-01-02,Russia,11,1,5,4,981,750,0,6029,5,NULL,0
